Name, Vorname;Geburtsjahr;Berufsschlüssel;Beruf/Stand;Geschlecht;Partei;Land;Platz;Wahlkreis
Bechert, Dr. Arthur ;1964;61;Diplom-Physiker;1;CSU;BY;68;
Becht, Marcus ;1971;78;Industriekaufmann;1;ÖDP;RP;23;
Becht, Susanne ;1974;67;Buchhändlerin;2;ÖDP;RP;21;
Beck von der, Sabine ;1963;88;Diplom-Volkswirtin, PR-Beraterin;2;GRÜNE;NW;35;141
Beck, Marieluise ;1952;76;MdB, Lehrerin;2;GRÜNE;HB;1;54
Beck, Tobias ;1985;88;Betriebswirt;1;FDP;RP;24;
Beck, Volker ;1960;76;MdB, Referent;1;GRÜNE;NW;2;94
Becker, Antonius ;1955;6;Forstwirtschaftsmeister;1;GRÜNE;;   ;147
Becker, Bernd ;1958;80;Polizist;1;SPD;RP;31;
Becker, Burkhard ;1954;44;Maurer;1;NPD;;   ;136
Becker, Dirk ;1966;76;Diplom-Verwaltungswirt;1;SPD;;   ;135
Becker, Dr. Andreas ;1958;84;Tierarzt;1;ÖDP;BY;7;254
Becker, Helmut ;1970;75;Personalleiter;1;AfD;HE;17;
Becker, Klaus-Christian ;1942;95;Oberstudienrat a.D.;1;ÖDP;HH;2;
Becker, Uwe ;1954;83;Künstler, Journalist;1;Die PARTEI;NW;17;
Becker, Walter Aloys ;1941;95;Rentner;1;REP;RP;9;
Beckers, Ephraim ;1995;94;Schüler;1;Die PARTEI;NW;15;109
Beckmann, Bert ;1958;31;Elektriker;1;MLPD;MV;4;
Beckmann, Marius ;1989;94;Student;1;Die PARTEI;HE;10;
Beckmann, Markus ;1988;94;Student;1;Anderer KWV;;   ;83
Beckmeyer, Uwe Karl ;1949;76;MdB, Senator a.D.;1;SPD;HB;3;55
Beermann, Maik ;1981;69;Sparkassenbetriebswirt;1;CDU;NI;25;40
Behlen, Jörg Hartmut ;1968;1;Landwirt;1;FDP;;   ;171
Behn, Karl ;1948;44;Maurermeister;1;FDP;NI;21;29
Behnke, Manfred ;1948;95;Rentner;1;PBC;NI;8;
Behrendt, Dr. Hermann ;1941;81;Wirtschaftsjurist;1;AfD;NW;6;109
Behrendt, Volker ;1967;76;Diplom-Finanzwirt;1;ÖDP;HH;1;23
Behrens, Eiko ;1971;60;Architekt;1;AfD;BE;3;
Behrens, Hans-Peter ;1961;60;Diplom-Ingenieur Elektrotechnik;1;GRÜNE;BW;38;
Behrens, Herbert ;1954;76;MdB, Gewerkschaftssekretär;1;DIE LINKE;NI;4;34
Behrens, Manfred ;1956;76;Mitglied des Deutschen Bundestages;1;CDU;ST;4;67
Beier, Andreas ;1971;80;Polizeihauptkommissar, Sozialwissenschaftler;1;Anderer KWV;;   ;291
Beier, Julian Pascal ;1994;94;Schüler;1;PIRATEN;;   ;263
Beier, Klaus ;1966;78;Kaufmännischer Angestellter;1;NPD;BB;1;63
Beitlich, Sebastian ;1977;77;Diplom-Informatiker(FH);1;PIRATEN;TH;5;
Bell, Dr. Carl-Martin ;1957;87;Professor;1;FREIE WÄHLER;BW;24;
Bella, Istvan ;1945;95;Rentner;1;ÖDP;NW;15;
Bellack, Arnold ;1934;99;Selbständig;1;pro Deutschland;SL;3;
Bellmann, Veronika Maria ;1960;76;Mitglied des Deutschen Bundestages;2;CDU;SN;7;161
Belz, Kristian ;1978;78;Industriekaufmann;1;NPD;MV;9;
Belz, Tim ;1990;51;Maler und Lackierer;1;NPD;;   ;293
Bender, Birgitt ;1956;76;Mitglied des Deutschen Bundestages;2;GRÜNE;BW;11;259
Bender, Julian ;1985;94;Student;1;SPD;BW;39;
Bender, Katja ;1972;85;Diplom-Pädagogin, Sprachtherapeutin;2;GRÜNE;NW;29;143
Bender, Rüdiger ;1960;87;Lehrbeauftragter;1;GRÜNE;;   ;190
Benecke, Dr. Mark ;1970;88;Biologe;1;Die PARTEI;NW;1;
Benecke, Johann ;1986;78;Verwaltungsbeamter;1;Die PARTEI;HH;15;
Benedikter, Manfred ;1981;67;Automobilkaufmann;1;CDU;BW;52;
Benkert, Daniel Udo ;1976;94;Student;1;Die PARTEI;NW;11;
Benkowitsch, Emmerich ;1955;60;Diplom-Ingenieur (FH) Maschinenbau;1;FREIE WÄHLER;BW;17;262
Benndorf, Klaus ;1954;60;Vermessungsingenieur;1;PIRATEN;;   ;96
Benning, Sybille Maria Ursula ;1961;5;Diplom-Ingenieurin Landschaftsplanung;2;CDU;NW;31;129
Benz, Markus ;1955;81;Jurist;1;DIE VIOLETTEN;;   ;281
Benz, Rolf ;1949;95;Kriminalbeamter a.D.;1;pro Deutschland;HE;5;
Benzel, Prof. Dr. Wolfgang ;1967;75;Steuerberater, Hochschullehrer;1;CDU;RP;39;
Ber, Dieter Josef ;1941;95;Unternehmensberater, Rentner;1;AfD;NW;33;
Berberich, Alexander Wanja ;1989;94;Student;1;Die PARTEI;HB;7;
Berberich, Patrick ;1979;60;Diplom-Bauingenieur (FH);1;CDU;RP;34;
Berbig, Miro Volker ;1964;77;IT-Consultant;1;DIE LINKE;;   ;8
Berg van den, Wiebke ;1987;78;Angestellte im öffentlichen Dienst;2;PIRATEN;;   ;124
Berg, Dr. Hans-Joachim ;1948;81;Jurist;1;AfD;BE;5;79
Berg, Lars ;1966;70;Public-Relations-Berater;1;AfD;BW;9;
